genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,imdb_id
"[10749, 18]",398818,"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",34.293258,2017-10-27,Call Me by Your Name,8.3,1823,tt5726616
"[12, 28, 878]",1891,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",18.237908,1980-05-20,The Empire Strikes Back,8.3,7374,tt0080684
"[12, 14, 28]",122,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",44.893514,2003-12-01,The Lord of the Rings: The Return of the King,8.2,9730,tt0167260
[18],73,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",30.452422,1998-10-30,American History X,8.2,4025,tt0120586
[35],914,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,18.397666,1940-10-15,The Great Dictator,8.2,982,tt0032553
[18],265177,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",14.042214,2014-05-22,Mommy,8.2,913,tt3612616
"[18, 9648, 53]",567,"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.",24.104398,1954-08-01,Rear Window,8.2,1948,tt0047396
"[35, 18, 10749]",901,City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.,8.813985,1931-01-30,City Lights,8.2,573,tt0021749
"[18, 9648, 878, 53]",431483,"The journey continues as these eight singular hearts and minds weave in and out of each other's lives finding deeper connections, learning darker secrets about one another and struggling to identify with more than just oneself.",5.661106,2016-12-23,Sense8: A Christmas Special,8.2,193,tt6323506
"[10751, 16]",399106,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.",7.436763,2016-06-16,Piper,8.2,623,tt5613056
[18],207,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",20.260414,1989-06-02,Dead Poets Society,8.2,3744,tt0097165
