genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,imdb_id
"[28, 16]",142061,Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,12.389958,2013-01-18,"Batman: The Dark Knight Returns, Part 2",7.9,509,tt2166834
"[878, 18, 53]",78,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",41.28896,1982-06-25,Blade Runner,7.9,5358,tt0083658
"[80, 18, 9648, 53]",1580,"Two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime.",7.512393,1948-08-23,Rope,7.9,701,tt0040746
"[9648, 53]",213,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",19.665886,1959-07-07,North by Northwest,7.9,1306,tt0053125
[18],169813,"Grace, a compassionate young supervisor at a foster care facility, works with her boyfriend and colleague, Mason, to help at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.",11.075999,2013-08-23,Short Term 12,7.9,538,tt2370248
"[28, 878, 12]",118340,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",89.736825,2014-07-30,Guardians of the Galaxy,7.9,12292,tt2015381
"[18, 10752]",11778,"A group of working-class friends decides to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",23.042366,1978-12-08,The Deer Hunter,7.9,1197,tt0077416
"[16, 10751]",10681,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",32.875686,2008-06-22,WALL·E,7.9,7713,tt0910970
"[16, 10751]",13929,"An aging codger named Geri plays a daylong game of chess in the park against himself. Somehow, he begins losing to his livelier opponent. But just when the game's nearly over, Geri manages to turn the tables.",5.88507,1997-11-24,Geri's Game,7.9,381,tt0131409
"[16, 10751]",24480,"Everyone knows that the stork delivers babies, but where do the storks get the babies from? The answer lies up in the stratosphere, where cloud people sculpt babies from clouds and bring them to life. Gus, a lonely and insecure grey cloud, is a master at creating ""dangerous"" babies. Crocodiles, porcupines, rams and more - Gus's beloved creations are works of art, but more than a handful for his loyal delivery stork partner, Peck. As Gus's creations become more and more rambunctious, Peck's job gets harder and harder. How will Peck manage to handle both his hazardous cargo and his friend's fiery temperament?",6.415216,2009-05-28,Partly Cloudy,7.9,401,tt1425244
"[9648, 53, 18]",210577,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",56.426592,2014-10-01,Gone Girl,7.9,7397,tt2267998
"[18, 36, 10402]",279,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum.",18.660513,1984-10-26,Amadeus,7.9,1408,tt0086879
"[18, 80]",627,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",23.458325,1996-02-23,Trainspotting,7.9,3583,tt0117951
"[12, 18, 36, 10752]",947,"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",17.579302,1962-12-10,Lawrence of Arabia,7.9,1064,tt0056172
[18],596,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",7.48977,1940-03-15,The Grapes of Wrath,7.9,266,tt0032551
"[18, 10749]",266856,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",32.154054,2014-11-26,The Theory of Everything,7.9,4332,tt2980516
[18],13223,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.",23.249927,2008-12-09,Gran Torino,7.9,4016,tt1205489
"[10749, 878, 18]",152601,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",29.110138,2013-12-18,Her,7.9,5308,tt1798709
[18],396,Mike Nichols’ film from Edward Albee's play brought new themes to the film industry. Elizabeth Taylor and Richard Burton have never been more brilliant together as they portray an experienced married couple who love each other yet verbally attack one another when they see how boring their naïve newlywed guests have made their night.,5.909396,1966-06-21,Who's Afraid of Virginia Woolf?,7.9,245,tt0061184
"[28, 18, 10749]",17483,"Forced to give up his dreams of art school, Zach works dead-end jobs to support his sister and her son. Questioning his life, he paints, surfs and hangs out with his best friend, Gabe. When Gabe's older brother returns home for the summer, Zach suddenly finds himself drawn into a relationship he didn't expect.",8.926699,2007-06-16,Shelter,7.9,139,tt0942384
"[12, 18, 36, 53, 10752]",5925,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocates them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",21.626639,1963-06-20,The Great Escape,7.9,891,tt0057115
"[80, 18, 9648, 53]",829,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",19.372818,1974-06-20,Chinatown,7.8,1169,tt0071315
"[27, 9648, 878]",1091,Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people it kills.,21.478441,1982-06-25,The Thing,7.8,2042,tt0084787
"[80, 18]",524,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.816477,1995-11-22,Casino,7.8,1691,tt0112641
[18],25364,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to revitalize his career, but the situation quickly escalates into an out-of-control media circus.",6.981009,1951-06-29,Ace in the Hole,7.8,160,tt0043338
"[35, 80, 18]",11293,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",7.723038,1973-05-09,Paper Moon,7.8,194,tt0070510
[18],400928,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",12.94825,2017-04-12,Gifted,7.8,1106,tt4481414
"[18, 53, 36]",314365,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",15.758406,2015-11-06,Spotlight,7.8,3426,tt1895587
"[35, 878]",3034,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",8.318135,1974-12-15,Young Frankenstein,7.8,1125,tt0072431
"[12, 35, 18]",371645,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",8.901401,2016-03-31,Hunt for the Wilderpeople,7.8,622,tt4698684
"[80, 18]",5924,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",7.394232,1973-12-13,Papillon,7.8,558,tt0070511
"[80, 28]",414419,"Kill Bill: The Whole Bloody affair is a complete edit of the two part martial arts action films Kill Bill: Volume 1 and Kill Bill: Volume 2. The film was originally scheduled to be released as one part. However, due to the film's over 4 hour running time, it was split into two parts.",6.450882,2011-03-28,Kill Bill: The Whole Bloody Affair,7.8,208,tt6019206
"[28, 12, 14, 10749, 16]",413594,"People everywhere were enjoying a new game called Ordinal Scale, an ARMMORPG developed exclusively for the Augma, a new wearable console designed for AR (augmented reality) gaming. But, the players had no idea that a nightmare from the virtual world was starting to spread into reality! As his fellow players find themselves in danger, the hero is called upon once again.",8.738343,2017-02-18,Sword Art Online The Movie: Ordinal Scale,7.8,124,tt5544384
[18],10774,A TV network cynically exploits a deranged ex-TV anchor's ravings and revelations about the media for their own profit.,8.694339,1976-11-01,Network,7.8,498,tt0074958
[10402],12104,A troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,7.277212,1982-07-14,Pink Floyd: The Wall,7.8,440,tt0084503
"[35, 10749]",804,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",16.299467,1953-08-26,Roman Holiday,7.8,644,tt0046250
"[18, 10751]",28178,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,22.197778,2009-06-13,Hachi: A Dog's Tale,7.8,2301,tt1028532
"[16, 35, 10751, 12]",14160,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",33.830508,2009-05-13,Up,7.8,8754,tt1049413
"[18, 9648]",223,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",10.910918,1940-04-12,Rebecca,7.8,437,tt0032976
"[35, 10752]",198,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",7.43639,1942-03-05,To Be or Not to Be,7.8,146,tt0035446
[37],33,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",22.084907,1992-08-07,Unforgiven,7.8,1380,tt0105695
[18],1578,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",18.481829,1980-11-14,Raging Bull,7.8,1238,tt0081398
"[80, 18]",235,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",19.573969,1986-08-22,Stand by Me,7.8,1970,tt0092005
"[28, 80]",24,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",32.124312,2003-10-10,Kill Bill: Vol. 1,7.8,6396,tt0266697
"[12, 18]",5915,"The true story of top student and athlete, Christopher McCandless, who after graduating from Emory University in 1992, abandoned his possessions, gave his entire $24,000 savings account to charity and hitchhiked to Alaska to live in the wilderness.",19.124603,2007-09-11,Into the Wild,7.8,4017,tt0758758
"[16, 35, 10751]",862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",35.449157,1995-10-30,Toy Story,7.8,6867,tt0114709
[18],70,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",26.086711,2004-12-15,Million Dollar Baby,7.8,3289,tt0405159
"[35, 18, 878]",122906,"The night after another unsatisfactory New Year party, Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life – so he decides to make his world a better place... by getting a girlfriend. Sadly, that turns out not to be as easy as he thinks.",22.916712,2013-08-16,About Time,7.8,2672,tt2194499
"[35, 80]",115,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",30.217651,1998-03-06,The Big Lebowski,7.8,3805,tt0118715
"[80, 18, 53]",15794,"A psychopathic criminal (Cagney) with a mother complex makes a daring break from prison and then leads his old gang in a chemical plant payroll heist. After the heist, events take a crazy turn.",7.607319,1949-09-02,White Heat,7.8,112,tt0042041
"[80, 18, 9648, 53]",93,"The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife.",7.035683,1959-07-01,Anatomy of a Murder,7.8,262,tt0052561
"[18, 10749, 80, 9648]",152742,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core.",21.157931,2013-01-01,The Best Offer,7.8,966,tt1924396
"[18, 35]",234200,"Based on a trues story. In the summer of 1984 – Margaret Thatcher is in power and the National Union of Mineworkers (NUM) is on strike. At the Gay Pride March in London, a group of gay and lesbian activists decides to raise money to support the families of the striking miners. But there is a problem - the union seems embarrassed to receive their support.  However the activists are not deterred. They decide to ignore the union and go direct to the miners. They identify a mining village of Onllwyn, in the Dulais Valley  in Wales, and later set off in a mini bus to make their donation in person. And so begins the extraordinary story of two seemingly alien communities who form a surprising and ultimately triumphant partnership.",10.265792,2014-09-12,Pride,7.8,540,tt3169706
"[80, 18, 53]",6977,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",19.929743,2007-11-08,No Country for Old Men,7.8,3935,tt0477348
"[80, 18, 53]",275,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",24.002399,1996-04-05,Fargo,7.8,2676,tt0116282
"[18, 10749, 10752]",3175,"In the Eighteenth Century, in a small village in Ireland, Redmond Barry is a young farm boy in love with his cousin Nora Brady. When Nora engages to the British Captain John Quin, Barry challenges him for a duel of pistols. He wins and escapes to Dublin, but is robbed on the road. Without any other alternative, Barry joins the British Army to fight in the Seven Years War.",8.993431,1975-12-18,Barry Lyndon,7.8,688,tt0072684
"[35, 18]",2108,"Five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought.",24.061723,1985-02-15,The Breakfast Club,7.8,2834,tt0088847
"[28, 53, 878]",280,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",33.918372,1991-07-03,Terminator 2: Judgment Day,7.8,5072,tt0103064
"[35, 18, 10749]",703,"In the city of New York, comedian Alvy Singer falls in love with the ditsy Annie Hall.",21.394814,1977-04-19,Annie Hall,7.8,1356,tt0075686
"[18, 10749]",4348,"Pride & Prejudice is a humorous story of love and life among English gentility during the Georgian era. Mr. Bennet is an English gentleman living in Hertfordshire with his overbearing wife and five daughters. If Mr. Bennet dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",22.75009,2005-09-16,Pride & Prejudice,7.8,1858,tt0414387
[18],33602,"A biopic of Temple Grandin, an autistic woman who has become one of top scientists in humane livestock handling.",12.790009,2010-02-06,Temple Grandin,7.8,120,tt1278469
"[18, 80]",640,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",28.004894,2002-12-25,Catch Me If You Can,7.8,4919,tt0264464
"[12, 35, 14]",762,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",19.627858,1975-03-13,Monty Python and the Holy Grail,7.8,2104,tt0071853
[18],29845,"Mabel, a mother and wife, is on the brink of insanity as her blue-collar husband Nick attempts to understand her plight.",6.651266,1974-09-19,A Woman Under the Influence,7.8,116,tt0072417
"[27, 28, 53, 878]",679,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",28.042922,1986-07-18,Aliens,7.8,3844,tt0090605
"[28, 53, 14]",752,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",15.874427,2006-03-15,V for Vendetta,7.8,5585,tt0434409
"[53, 18, 10749]",303,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.",10.003147,1946-08-15,Notorious,7.8,445,tt0038787
"[12, 35, 18]",962,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.,7.948606,1925-06-25,The Gold Rush,7.8,404,tt0015864
"[12, 35, 10751, 16]",354912,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",210.050883,2017-10-27,Coco,7.8,3474,tt2380307
[18],873,"An epic tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry.  After Celie's abusive father marries her off to the equally debasing ""Mister"" Albert Johnson, things go from bad to worse, leaving Celie to find companionship anywhere she can.  She perseveres, holding on to her dream of one day being reunited with her sister in Africa. Based on the novel by Alice Walker.",16.72828,1985-12-18,The Color Purple,7.8,455,tt0088939
"[16, 10749]",200481,"It is just another evening commute until the rain starts to fall, and the city comes alive to the sound of dripping rain pipes, whistling awnings and gurgling gutters.",5.010312,2013-02-12,The Blue Umbrella,7.8,206,tt2616880
"[12, 14, 10751]",673,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",18.368239,2004-05-31,Harry Potter and the Prisoner of Azkaban,7.8,7678,tt0304141
"[18, 36]",821,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",8.815352,1961-12-01,Judgment at Nuremberg,7.8,208,tt0055031
[35],15251,"Taped live and in concert at Constitution Hall in Washington, D.C. in August, 1983, Eddie Murphy: Delirious captures Eddie Murphy's wild and outrageous stand-up comedy act, which he performed in New York and eighteen other cities across the U.S. to standing-room-only audiences. Eddie's comedy was groundbreaking, completely new, razor sharp and definitely funny.Eddie Murphy pontificates in his own vulgarly hilarious fashion on everything from bizarre sexual fantasies to reliving the family barbecue, and is peppered with Eddie's one-of-a-kind wit. Laugh along as Eddie reminiscences of hot childhood days and the ice cream man intermixed with classic vocal parodies of top American entertainers.Experience Eddie Murphy at his best, live and red hot! Delirious! Uncensored and Uncut!",5.470102,1983-08-17,Eddie Murphy: Delirious,7.8,121,tt0085474
[18],414425,"In the post–World War II South, two families are pitted against a barbaric social hierarchy and an unrelenting landscape as they simultaneously fight the battle at home and the battle abroad.",9.925853,2017-11-17,Mudbound,7.8,280,tt2396589
"[35, 18]",11898,"Louis Mazzini's mother belongs to the aristocratic family D'Ascoyne, but she ran away with an opera singer. Therefore, she and Louis were rejected by the D'Ascoynes. Once adult, Louis decides to avenges his mother and him, by becoming the next Duke of the family. Murdering every potential successor is clearly the safest way to achieve his goal.",6.300524,1949-01-01,Kind Hearts and Coronets,7.8,143,tt0041546
"[12, 28]",85,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",40.023883,1981-06-12,Raiders of the Lost Ark,7.8,4771,tt0082971
"[35, 18, 10749]",696,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,7.535251,1979-04-25,Manhattan,7.8,778,tt0079522
"[16, 35, 18]",24238,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York. In the mid-1970's, a homely, friendless Australian girl of 8 picks a name out of a Manhattan phone book and writes to him; she includes a chocolate bar. He writes back, with chocolate. Thus begins a 20-year correspondence. Will the two ever meet face to face?",7.871537,2009-02-09,Mary and Max,7.8,713,tt0978762
"[35, 10749]",200727,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?  Based on Cecelia Ahern's bestselling novel, LOVE, ROSIE is a heart-warming, modern comedy-of-errors posing the ultimate question: do we really only get one shot at true love?",10.371207,2014-10-16,"Love, Rosie",7.8,2157,tt1638002
"[9648, 80, 53]",963,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",7.866936,1941-10-17,The Maltese Falcon,7.8,539,tt0033870
"[14, 18, 9648]",141,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",27.074229,2001-01-18,Donnie Darko,7.8,4616,tt0246578
[18],1402,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,21.301448,2006-12-14,The Pursuit of Happyness,7.8,3362,tt0454921
"[18, 10749, 10752]",770,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,26.960267,1939-12-15,Gone with the Wind,7.8,1250,tt0031381
"[18, 36, 10752]",826,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",10.003931,1957-10-02,The Bridge on the River Kwai,7.7,698,tt0050212
"[35, 18]",10322,"A simple-minded gardener named Chance has spent all his life in the Washington D.C. house of an old man. When the man dies, Chance is put out on the street with no knowledge of the world except what he has learned from television.",6.242438,1979-12-19,Being There,7.7,308,tt0078841
"[10749, 18]",11036,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",19.244243,2004-06-25,The Notebook,7.7,4021,tt0332280
"[28, 80, 18, 53]",6075,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",19.968418,1993-11-10,Carlito's Way,7.7,1022,tt0106519
"[12, 10751, 16, 28, 35]",177572,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",39.059145,2014-10-24,Big Hero 6,7.7,7663,tt2245084
"[9648, 53, 18]",745,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.",28.165887,1999-08-06,The Sixth Sense,7.7,4032,tt0167404
"[18, 10749]",76,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",8.816598,1995-01-27,Before Sunrise,7.7,1240,tt0112471
"[35, 10749]",981,"Philadelphia heiress Tracy Lord throws out her playboy husband C.K. Dexter Haven shortly after their marriage. Two years later, Tracy is about to marry respectable George Kittredge whilst Dexter has been working for ""Spy"" magazine. Dexter arrives at the Lord mansion the day before the wedding with journalist Mike Connor and photographer Liz Imbrie, determined to spoil things.",6.359707,1940-12-05,The Philadelphia Story,7.7,245,tt0032904
"[18, 36, 10770]",21634,"True story of Mary Griffith, gay rights crusader, whose teenage son committed suicide due to her religious intolerance. Based on the book of the same title by Leroy Aarons.",8.803212,2009-02-27,Prayers for Bobby,7.7,149,tt1073510
[18],655,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",7.711543,1984-05-19,"Paris, Texas",7.7,366,tt0087884
"[28, 18, 36, 10752]",197,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",15.926221,1995-05-24,Braveheart,7.7,4047,tt0112573
"[18, 27]",136,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",6.873565,1932-02-20,Freaks,7.7,302,tt0022913
[18],84892,"A coming-of-age story based on the best-selling novel by Stephen Chbosky, which follows 15-year-old freshman Charlie, an endearing and naive outsider who is taken under the wings of two seniors. A moving tale of love, loss, fear and hope - and the unforgettable friends that help us through life.",24.001646,2012-09-20,The Perks of Being a Wallflower,7.7,3897,tt1659337
[18],337960,"In the 1970s, a young Australian boy, Timothy, finds himself confused. He falls for the captain of the football team. What follows shows all aspects of a relationship, regardless of gender or sexual preference. Conflict, temptation, and a huge burden which will affect every aspect of their lives.",6.01218,2015-08-27,Holding the Man,7.7,149,tt3671542
